"Z";"Line Name";"Comment";"line keV";"tube KV";"Filter";"Ref Sample";"Ref Line";"Calib.";"Collimator";"Crystal";"Detector";"2Th-Peak";"2Th-Bkg";"LLD";"ULD"
27;"Co KA1-ALT-Tr";"Ca_Nd_karb";6,931;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D";0,23;"LiF220";"Sci.";77,819;;60;140
27;"Co KA1-HR-Min";;6,931;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";52,765;;50;150
27;"Co KA1-HR-Tr";;6,931;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";52,765;;60;140
27;"Co KA1-HS-Min";;6,931;60;;"QuantExpress-SQ2";"Co KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";52,765;;50;150
27;"Co KA1-HS-Min";"L";6,931;50;"Al 200um";"Rekal-MSAN-1";"Co KA1-HS-Min/L";"D-,*";0,17;"LiF220";"Sci.";"77,848*";78,856;57,08;145
27;"Co KA1-HS-Tr";;6,931;60;;"QuantExpress-SQ2";"Co KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";52,765;;60;140
27;"Co KA1-Maj";;6,931;50;;"QuantExpress-SQ2";"Co KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";52,765;;35;300
27;"Co KA1";"GEO-QUANT";6,931;60;;"DC_AusMon";"Co KA1/GEO-QUANT";"D-";0,23;"LiF220";"Sci.";"77,891*";"73,528; 90,680";30;165
27;"Co KB1-ALT-Min";;7,648;60;;"QuantExpress-SQ2";"Co KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";69,39;;50;150
27;"Co KB1-ALT-Tr";;7,648;60;;"QuantExpress-SQ2";"Co KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";69,39;;60;140
27;"Co KB1-HR-Min";;7,648;60;;"QuantExpress-SQ2";"Co KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";47,495;;50;150
27;"Co KB1-HR-Tr";;7,648;60;;"QuantExpress-SQ2";"Co KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";47,495;;60;140
27;"Co KB1-Maj";;7,648;50;;"QuantExpress-SQ2";"Co KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";47,495;;35;300
27;"Co LA1-HR";;0,776;30;;"QuantExpress-SQ2";"Na KA1-HR-Tr";"C,D,*";0,23;"XS-55";"Gas";33,288;;50;150
27;"Co LA1-HS";;0,776;30;;"QuantExpress-SQ2";"Na KA1-HS-Tr";"C,D,*";0,46;"XS-55";"Gas";33,288;;50;150
24;"Cr KA1-ALT-Min";;5,415;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";106,991;;50;150
